X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,ARREST,LARCENYCODE,CODE_DEFINED,LAT,LONG,OBJECTID
-76.141858501,43.05213,2024/04/02 04:00:00+00,950,950,400 BURNET AV   ,,All Other,LARCENY,43.05213,-76.1418585009999,2782
-76.1497019999999,43.0586010000001,2024/04/05 04:00:00+00,859,859,400 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0586010000001,-76.1497019999999,2783
-76.1497019999999,43.0586010000001,2024/04/03 04:00:00+00,1602,1602,400 BUTTERNUT ST     ,,Shoplifting,LARCENY,43.0586010000001,-76.1497019999999,2784
-76.1497019999999,43.0586010000001,2024/01/08 05:00:00+00,2200,2200,400 BUTTERNUT ST   ,,,ROBBERY,43.0586010000001,-76.1497019999999,2785
-76.1497019999999,43.0586010000001,2024/03/17 04:00:00+00,1451,1451,400 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0586010000001,-76.1497019999999,2786
-76.1497019999999,43.0586010000001,2024/02/28 05:00:00+00,840,845,400 BUTTERNUT ST     ,Yes,Shoplifting,LARCENY,43.0586010000001,-76.1497019999999,2787
-76.1497019999999,43.0586010000001,2024/03/11 04:00:00+00,1247,1247,400 BUTTERNUT ST     ,Yes,From Building,LARCENY,43.0586010000001,-76.1497019999999,2788
-76.1497019999999,43.0586010000001,2024/02/23 05:00:00+00,849,1224,400 BUTTERNUT ST   ,Yes,Shoplifting,LARCENY,43.0586010000001,-76.1497019999999,2789
-76.1306759999999,43.042068,2024/02/16 05:00:00+00,2000,600,400 COMSTOCK AV ,,From Motor Vehicle,LARCENY,43.042068,-76.1306759999999,2790
-76.1270445,43.0685280000001,2024/03/27 04:00:00+00,1030,1030,400 DURSTON AV   ,,Unknown,LARCENY,43.0685280000001,-76.1270445,2791
-76.151259,43.0199640000001,2024/07/20 04:00:00+00,232,232,400 E BRIGHTON AV   ,,,BURGLARY,43.0199640000001,-76.151259,2792
-76.160907,43.0575480000001,2024/05/26 04:00:00+00,2028,2028,400 E DIVISION ST     ,,,AGGRAVATED ASSAULT,43.0575480000001,-76.160907,2793
-76.113828,43.04709,2024/04/13 04:00:00+00,1430,2150,400 ELLIS ST     ,,From Building,BURGLARY,43.04709,-76.113828,2794
-76.1576535,43.004349,2024/03/13 04:00:00+00,245,245,400 ENGLEWOOD AV   ,,Of Bicycle,MV THEFT,43.004349,-76.1576535,2795
-76.15674,43.0529490000001,2024/05/14 04:00:00+00,2000,700,400 E GENESEE ST     ,,From Motor Vehicle,LARCENY,43.0529490000001,-76.15674,2796
-76.1266755,43.0362180000001,2024/05/23 04:00:00+00,400,730,400 EUCLID AV   ,,From Motor Vehicle,LARCENY,43.0362180000001,-76.1266755,2797
-76.1266755,43.0362180000001,2024/03/02 05:00:00+00,1500,2200,400 EUCLID AV ,,From Motor Vehicle,LARCENY,43.0362180000001,-76.1266755,2798
-76.161042,43.0442820000001,2024/02/11 05:00:00+00,2115,1150,400 FABIUS ST   ,,From Motor Vehicle,LARCENY,43.0442820000001,-76.161042,2799
-76.1266755,43.0362180000001,2024/03/30 04:00:00+00,200,1000,400 EUCLID AV   ,,From Motor Vehicle,LARCENY,43.0362180000001,-76.1266755,2800
-76.1408279999999,43.0599600000001,2024/07/09 04:00:00+00,1450,1507,400 HIGHLAND ST     ,,All Other,LARCENY,43.05996,-76.1408279999999,2801
-76.147839,43.0524990000001,2024/05/27 04:00:00+00,234,237,400 JAMES ST     ,,,ROBBERY,43.0524990000001,-76.147839,2802
-76.147839,43.0524990000001,2024/01/10 05:00:00+00,408,408,400 JAMES ST   ,,,AGGRAVATED ASSAULT,43.0524990000001,-76.147839,2803
-76.147839,43.0524990000001,2024/02/04 05:00:00+00,2237,2237,400 JAMES ST     ,,,AGGRAVATED ASSAULT,43.0524990000001,-76.147839,2804
-76.147839,43.0524990000001,2024/01/06 05:00:00+00,2018,2018,400 JAMES ST   ,,,AGGRAVATED ASSAULT,43.0524990000001,-76.147839,2805
-76.147839,43.0524990000001,2024/01/27 05:00:00+00,1838,1838,400 JAMES ST     ,,,AGGRAVATED ASSAULT,43.0524990000001,-76.147839,2806
-76.147839,43.0524990000001,2024/06/09 04:00:00+00,50,50,400 JAMES ST     ,,All Other,LARCENY,43.0524990000001,-76.147839,2807
